REFERENCE;SAMPLE CODE;SITE NAME ;WTD;pH;LAT ;LONG;ALA MIL;AMP WRI;ARC ART;ARC CAT;ARC DIS;ARC GIB;ARC HEM;ARC VUL;ARC FLA;ARG DEN;ASS MUS;ASS SEM;BUL IND;CEN ACU;CEN CAS;CEN ECO;CEN PLA;CON PON;COR TRI;CRY OVI;CRY SAC;CYC ARC;CYP AMP;DIF ACU;DIF BAC;DIF GLO;DIF LEI;DIF LUC;DIF OBL;DIF OVI;DIF PRI;DIF PUL;DIF RUB;DIF URC;EUG CIL;EUG ROT;EUG STR;EUG TUB;GIB TUB;HEL PET;HEL ROS;HEL SPH;HEL SYL;HYA ELE;HYA MIN;HYA PAP;HYA SUB;LES EPI;LES SPI;NEB BAR;NEB COL;NEB FLA;NEB MIN;NEB PEN;NEB TIN;PAD LAG;PAD WAI;PAR IRR;PHR ACR;PHY GRI;PLAGIO;PLA SPI;PLA CAR;PLA MAR;PSE FAS;PSE FUL;PYXI;QUA SYM;SPH LEN;TRA DEN;TRI ARC ;WAI EBO;;;;;
Booth 2002;PBS11;Partridge Lake;-15,0;5,4;47,420;-88,008;0,0;0,0;0,0;1,0;0,0;0,0;1,0;3,1;1,0;0,0;2,0;1,0;0,0;57,1;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;22,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,1;1,0;0,0;3,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Clifford (unpublished);PL11-12;Point Lena;-15,0;4;58,386;-134,746;0,0;23,0;0,0;0,0;0,0;0,0;0,0;0,0;14,0;0,0;2,0;3,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;4,0;0,0;0,0;0,0;0,0;36,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,0;0,0;3,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;;;;;
Booth 2001;966ada;Tahquamenon Bay;-14,0;6,4;46,475;-84,995;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,7;0,0;1,0;0,0;0,0;0,0;35,6;12,5;0,0;0,0;0,0;3,8;0,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;1,9;1,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,3;9,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,9;0,0;0,0;0,0;;;;;
Booth 2002;IB20W55:1.3;Independence;-14,0;3,9;47,419;-88,010;0,0;0,0;0,0;0,0;0,4;0,0;0,4;0,4;0,0;0,0;2,8;0,0;0,0;0,4;2,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,4;0,0;21,2;0,4;0,0;0,0;54,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,8;0,0;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,0;0,0;0,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Markel et al. 2010;AK91;Brown's Lake;-14,0;5,91;60,471;-150,728;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,3;0,0;0,0;0,8;2,3;0,0;0,0;0,0;79,7;0,0;0,0;0,0;0,0;0,0;0,0;0,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,5;0,0;11,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8;0,0;0,0;0,0;0,8;0,0;0,0;;;;;
Clifford (unpublished);PL11-8;Point Lena;-14,0;3,87;58,386;-134,746;0,0;10,0;0,0;0,0;0,0;0,0;0,0;0,0;12,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;10,0;0,0;0,0;0,0;0,0;42,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;3,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Clifford (unpublished);FC11-6;Fish Creek;-13,0;4,25;58,336;-134,554;3,0;14,0;0,0;1,0;0,0;0,0;0,0;0,0;5,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;4,0;0,0;4,0;2,0;0,0;0,0;2,0;16,0;0,0;5,0;0,0;0,0;23,0;0,0;0,0;0,0;0,0;0,0;6,0;0,0;0,0;0,0;0,0;2,0;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;6,0;0,0;1,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Clifford (unpublished);PB11-2;Point Bridget;-13,0;4,16;58,647;-134,934;0,0;23,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;5,0;1,0;0,0;2,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;2,0;0,0;0,0;6,0;7,0;0,0;0,0;0,0;0,0;36,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Markel et al. 2010;AK80;Gate Creek;-12,5;4,01;62,333;-150,545;0,7;8,0;0,7;0,0;0,0;0,0;0,0;0,7;61,3;0,0;0,7;0,0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;0,7;0,0;0,0;0,0;1,3;0,0;13,3;1,3;4,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,3;1,3;0,0;0,0;0,0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Markel et al. 2010;AK38;Funny River;-12,0;5,61;60,415;-150,901;0,0;0,0;0,0;3,6;0,0;2,9;6,5;1,4;0,0;0,0;0,0;0,0;0,0;4,3;0,7;0,0;1,4;0,0;37,4;0,7;0,0;0,7;1,4;0,0;0,0;0,0;0,0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,9;0,7;20,9;0,7;0,0;0,0;0,0;0,0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,4;0,0;0,0;0,0;0,0;0,0;0,0;4,3;0,0;0,0;0,7;4,3;0,0;0,0;;;;;
