REFERENCE;SAMPLE CODE;SITE NAME ;WTD;pH;LAT ;LONG;ALA MIL;AMP WRI;ARC ART;ARC CAT;ARC DIS;ARC GIB;ARC HEM;ARC VUL;ARC FLA;ARG DEN;ASS MUS;ASS SEM;BUL IND;CEN ACU;CEN CAS;CEN ECO;CEN PLA;CON PON;COR TRI;CRY OVI;CRY SAC;CYC ARC;CYP AMP;DIF ACU;DIF BAC;DIF GLO;DIF LEI;DIF LUC;DIF OBL;DIF OVI;DIF PRI;DIF PUL;DIF RUB;DIF URC;EUG CIL;EUG ROT;EUG STR;EUG TUB;GIB TUB;HEL PET;HEL ROS;HEL SPH;HEL SYL;HYA ELE;HYA MIN;HYA PAP;HYA SUB;LES EPI;LES SPI;NEB BAR;NEB COL;NEB FLA;NEB MIN;NEB PEN;NEB TIN;PAD LAG;PAD WAI;PAR IRR;PHR ACR;PHY GRI;PLAGIO;PLA SPI;PLA CAR;PLA MAR;PSE FAS;PSE FUL;PYXI;QUA SYM;SPH LEN;TRA DEN;TRI ARC ;WAI EBO;;;;;
Finkelstein/Bunbury unpublished;M39;Sutton River 3;6,0;4,38;54,610;-84,609;15,8;0,0;0,0;0,9;2,6;0,0;0,0;0,0;0,0;0,0;2,6;1,8;0,0;0,0;0,9;0,0;0,0;0,0;3,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;27,2;6,1;0,0;0,0;0,0;0,9;3,5;7,9;0,0;0,0;0,0;0,9;4,4;0,0;0,0;0,0;7,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,5;0,0;0,0;0,0;0,0;0,0;0,0;0,9;0,0;0,0;0,0;7,9;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Lamarre et al 2013;Baie_M_5;Baie-M;6,0;4,17;49,093;-68,243;1,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;53,3;0,0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;1,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;0,0;0,0;0,0;1,3;2,0;0,7;19,3;0,7;10,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;0,0;0,0;4,0;0,0;0,0;3,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Lamarre et al 2013;KUJU_7;Kuujuarapik;6,0;4,49;55,226;-77,696;0,0;13,2;0,7;0,0;0,0;0,0;0,0;0,0;15,8;0,7;0,7;0,0;0,0;11,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;2,0;0,0;0,7;0,7;0,0;0,0;0,0;19,1;0,0;0,0;3,3;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;0,0;1,3;0,0;7,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,9;0,0;0,0;0,0;8,6;2,0;0,0;0,0;0,0;3,9;0,0;1,3;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Lamarre et al 2013;Morts_2_10;Morts;6,0;6,73;50,264;-63,669;0,0;0,0;0,0;2,4;0,0;0,0;0,0;0,0;2,4;0,0;7,9;0,8;0,0;11,0;9,4;0,0;6,3;0,0;0,8;0,0;0,0;7,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;45,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,6;0,0;0,0;0,0;0,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,6;0,0;0,0;0,8;0,0;0,0;0,0;;;;;
Lamarre et al 2013;VRD Fen_4;Verendrye;6,0;3,84;47,303;-76,855;0,7;7,3;0,0;0,0;6,0;4,7;0,0;9,3;0,0;0,0;14,7;0,0;0,0;0,0;3,3;0,0;0,0;0,0;0,0;0,0;0,0;2,7;0,0;1,3;1,3;8,0;0,0;1,3;0,7;0,0;21,3;0,7;0,0;0,0;0,0;4,0;3,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;0,0;0,0;3,3;0,0;0,0;0,0;1,3;0,0;0,0;4,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Warner 1987;S7;Sifton;6,0;5,2;42,970;-81,323;0,0;0,0;0,0;0,0;1,9;0,0;0,0;0,0;6,6;0,0;5,7;0,9;0,0;9,5;3,8;0,0;0,0;0,0;0,0;0,0;0,0;38,8;0,0;0,0;0,0;0,0;0,0;0,0;2,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,9;0,0;0,0;0,0;0,0;2,8;0,0;4,7;0,0;10,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,6;0,0;0,0;0,0;1,9;0,9;0,0;1,9;0,0;0,0;0,0;0,0;0,0;0,0;0,9;0,0;0,9;0,0;;;;;
Roe et al 2017;MER4;Mer Bleue;6,0;4,11;45,402;-75,486;1,8;0,0;1,2;1,2;11,6;0,0;0,0;0,6;0,0;0,0;10,4;3,0;1,2;3,0;0,6;0,0;0,6;0,0;4,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6;3,7;3,0;3,0;0,0;0,0;0,0;1,2;0,6;28,0;0,0;0,6;3,0;0,0;0,0;0,0;1,8;0,0;1,8;0,0;4,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6;0,0;0,0;0,0;0,0;7,9;0,0;;;;;
Roe et al 2017;MER29;Mer Bleue;6,0;3,88;45,402;-75,486;1,3;0,0;0,0;0,0;12,8;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,7;0,0;0,7;0,0;1,3;0,0;0,0;0,0;0,0;1,3;0,0;0,0;0,7;0,0;0,0;0,0;2,0;2,7;4,7;0,0;0,0;0,0;0,0;0,7;40,3;0,0;0,7;9,4;0,0;0,0;0,0;0,7;0,0;4,7;0,0;0,7;0,0;0,0;0,0;0,0;6,7;0,0;0,7;2,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;;;;;
Warner and Charman 1994;BGW14;Unknown;6,0;6,8;;;0,0;0,0;0,0;2,9;7,8;0,0;64,7;0,0;0,0;0,0;2,9;0,0;0,0;2,9;4,9;0,0;0,0;0,0;0,0;0,0;0,0;2,9;0,0;0,0;0,0;0,0;0,0;0,0;10,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Talbot unpublished;bog_204;Scotty Creek;6,0;;61,307;-121,298;0,0;0,0;0,0;0,9;0,0;0,0;0,0;0,0;62,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,9;0,0;0,0;0,0;0,0;0,0;3,7;0,0;27,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,7;0,5;0,0;0,5;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Booth 2008;TL22;Trout A;6,2;4,26;46,004;-89,594;0,0;0,3;0,0;0,0;3,4;0,0;0,7;3,1;1,0;0,0;76,7;0,0;0,0;0,0;0,0;0,0;0,3;0,0;0,3;0,0;0,0;0,0;0,0;0,0;0,0;7,9;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;3,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;0,7;0,0;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Booth 2008;NR10;North Rhody;6,5;4,1;46,583;-86,073;0,0;0,0;1,3;1,3;0,0;0,0;0,0;0,0;3,2;0,0;1,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;19,5;0,0;19,5;0,0;4,5;0,0;0,0;0,0;0,0;6,5;0,0;0,0;0,0;2,6;0,0;0,0;0,0;33,8;5,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6;0,0;;;;;
Booth 2008;SG04;Spring Pond;6,5;3,7;44,368;-74,499;1,0;11,1;0,0;0,0;0,0;0,0;0,0;0,0;42,2;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;4,0;0,0;14,6;0,0;12,6;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;3,5;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Booth 2008;SS06;Small Sarracennia;6,5;4,12;46,093;-92,115;0,0;0,0;1,3;0,0;0,0;0,0;0,0;0,0;0,7;0,0;10,0;4,7;0,0;0,7;0,0;2,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,7;0,0;17,3;0,0;7,3;0,0;14,0;0,0;0,0;0,0;0,0;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,3;3,3;0,0;0,7;0,7;10,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;;;;;
Lamarre et al 2013;Manic_15;Manic;6,5;;49,123;-68,292;8,0;0,0;2,0;0,0;0,7;0,0;0,0;0,0;26,0;0,0;11,3;0,0;0,7;0,0;0,0;0,0;0,0;0,0;4,0;0,0;0,0;6,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;0,0;0,0;0,0;0,7;0,0;0,0;0,0;0,0;0,7;0,7;2,0;24,0;0,7;1,3;0,7;0,0;0,0;0,0;0,0;0,7;0,0;0,0;4,0;0,0;0,0;0,0;1,3;0,0;0,0;0,0;0,0;0,0;0,0;2,7;0,0;0,0;0,0;0,0;1,3;0,0;;;;;
Booth 2008;TL08;Crystal;6,8;3,66;46,007;-89,605;0,4;0,0;1,1;0,0;14,1;0,0;0,0;0,4;19,9;0,0;6,2;4,7;0,0;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,0;0,0;1,1;6,2;5,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,1;0,0;0,0;0,0;11,2;0,0;7,2;0,0;4,7;0,4;0,0;0,0;0,0;2,5;0,0;0,0;0,0;1,4;0,0;0,0;0,0;8,7;1,4;0,0;0,0;0,4;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,0;;;;;
Booth 2001;915ada;Tahquamenon Bay;7,0;4,1;46,475;-84,995;1,3;0,0;0,0;0,0;14,0;0,0;0,0;0,0;2,5;0,0;6,4;1,3;0,0;8,3;5,7;0,0;0,0;0,0;0,6;0,0;0,0;12,7;0,0;0,6;0,0;3,2;0,0;3,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6;5,1;0,0;0,0;0,0;0,0;1,3;10,2;0,0;1,9;0,6;0,0;0,0;0,0;2,5;0,0;0,0;0,0;1,3;0,0;0,6;0,0;0,0;8,9;0,0;5,1;0,0;1,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Booth 2001;933ada;Tahquamenon Bay;7,0;5,5;46,475;-84,995;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8;0,0;0,8;0,8;0,0;0,0;0,0;39,5;0,0;0,0;0,0;4,7;0,0;0,0;12,4;0,0;0,0;0,0;3,1;0,0;3,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,6;5,4;0,8;2,3;0,0;0,0;1,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,9;0,0;0,0;0,0;2,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,0;3,1;0,0;0,0;0,0;;;;;
Booth 2002;1009A;Au Train Bay;7,0;4,4;46,548;-86,059;0,0;0,0;0,0;1,3;2,6;0,0;0,0;0,0;0,0;0,7;5,3;0,7;0,0;0,0;0,7;10,5;1,3;0,0;0,0;0,0;0,0;2,6;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,6;5,3;1,3;32,2;0,0;7,2;0,0;0,0;0,0;0,0;3,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,3;15,1;0,0;0,0;2,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;;;;;
Booth 2002;1022A;Au Train Bay;7,0;4;46,548;-86,059;0,0;0,0;0,0;0,5;20,1;0,0;0,5;0,0;4,4;0,0;2,0;0,0;0,0;13,7;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,9;0,0;11,3;0,0;0,0;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,9;2,5;0,0;0,0;0,0;0,0;0,0;0,5;0,0;5,9;0,0;0,0;0,0;0,0;2,5;0,0;0,0;0,0;4,9;0,0;0,0;0,0;2,5;11,8;0,0;0,0;2,5;0,0;0,0;0,0;0,0;0,0;2,5;0,0;0,0;0,0;;;;;
Booth 2002;1033C;Au Train Bay;7,0;4;46,548;-86,059;0,0;0,0;0,0;0,7;24,3;0,0;0,0;9,2;0,0;0,0;3,3;0,0;0,0;1,3;3,3;0,0;0,0;0,0;0,7;0,0;0,0;0,7;0,0;2,6;0,0;38,8;0,7;0,0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,3;1,3;0,0;0,0;0,0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,3;3,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;0,0;0,0;;;;;
Booth 2002;IBCL117:12.5;Independence;7,0;4,1;47,419;-88,010;0,0;2,0;0,0;0,0;1,4;0,0;0,0;0,0;15,6;0,0;4,1;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;0,0;0,3;0,0;0,0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;0,0;0,0;0,0;7,1;0,0;24,1;0,0;3,1;0,0;0,0;0,0;0,0;5,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,2;18,3;0,0;1,7;3,1;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Booth 2002;PBS10;Partridge Lake;7,0;4;47,420;-88,008;0,0;1,2;0,0;0,8;0,0;0,0;0,0;0,0;2,5;0,0;0,4;1,2;0,0;0,4;0,0;2,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,6;0,0;0,0;0,0;0,0;0,0;0,4;0,0;0,0;0,0;9,1;1,6;33,3;0,0;18,1;0,0;0,0;0,0;0,0;8,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,5;11,5;0,0;0,8;2,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,6;0,0;;;;;
Booth 2002;PBS7;Partridge Lake;7,0;3,9;47,420;-88,008;0,0;0,4;0,0;0,8;0,8;0,0;0,0;0,4;0,4;0,0;7,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8;0,0;0,0;0,0;27,3;0,0;0,0;0,4;0,8;0,0;0,4;0,0;0,4;0,0;0,0;1,2;0,4;0,0;0,0;0,0;29,3;0,0;7,2;0,0;2,4;0,0;0,0;0,0;0,0;0,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8;17,3;0,0;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Booth 2008;BL14;Bloomingdale;7,0;3,7;44,383;-74,139;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;21,8;2,0;5,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,9;7,9;0,0;0,0;0,0;0,0;24,8;0,0;0,0;0,0;16,8;0,0;0,0;0,0;2,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;;;;;
Booth 2008;KT09;Kentucky Trail;7,0;3,85;46,247;-86,601;22,2;0,0;0,6;0,0;13,5;0,0;0,0;0,0;0,6;0,0;2,9;1,2;0,0;0,0;0,6;0,0;0,0;0,0;0,6;0,0;0,0;0,0;0,0;0,0;0,0;0,6;2,3;0,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,8;3,5;0,0;0,0;0,0;13,5;0,0;0,0;0,0;20,5;0,0;0,0;0,0;0,0;9,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6;0,0;;;;;
Booth 2008;SP01;Spruce;7,0;4,08;46,095;-92,112;1,5;0,0;2,4;0,0;5,8;0,0;0,0;0,0;23,8;0,0;5,3;3,9;0,0;0,0;2,4;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,4;1,0;0,0;1,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5;0,5;1,9;0,0;0,5;0,0;0,5;2,4;5,3;0,0;20,4;0,0;0,0;0,0;0,0;0,5;0,0;0,0;0,0;11,7;0,0;0,0;0,0;1,5;1,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Booth 2008;SR04;South Rhody;7,0;4,11;46,565;-86,075;0,0;0,0;1,8;0,6;0,0;0,0;0,0;0,0;0,0;0,0;6,4;5,3;0,0;1,8;0,0;2,3;1,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,7;1,8;0,0;2,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,3;0,0;0,0;0,0;13,5;0,0;28,1;0,0;0,0;0,0;0,0;0,0;0,0;4,1;0,0;0,0;0,0;0,6;0,0;0,0;0,0;11,1;7,6;0,0;3,5;0,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6;0,0;;;;;
Booth & Zygmunt 2005;CHAT7;Chatanooga;7,0;3,7;36,961;-107,693;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;40,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,7;0,0;0,0;8,7;0,0;20,0;0,0;12,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,7;0,0;0,0;0,0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,3;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Booth & Zygmunt 2005;ELP8;East Lily;7,0;4,19999980926514;44,954;-109,696;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,3;11,6;0,0;0,0;3,9;3,1;0,0;0,0;0,0;2,3;0,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8;0,0;2,3;0,0;0,8;0,0;0,8;0,0;0,0;0,0;0,0;28,7;0,0;0,0;0,0;0,0;3,1;0,0;0,0;0,0;7,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,6;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Booth & Zygmunt 2005;LM11;Little Moose;7,0;4,59999990463257;44,976;-109,757;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14,1;11,4;0,0;0,0;1,3;16,8;0,0;1,3;0,0;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,7;0,0;1,3;0,0;0,0;0,0;0,0;20,8;0,0;0,0;0,0;0,0;2,7;0,0;0,0;0,0;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;20,1;0,0;0,7;0,0;0,0;0,0;0,0;;;;;
Booth & Zygmunt 2005;LP1;Lilypad;7,0;4,61999988555908;44,164;-111,008;0,0;0,0;0,0;0,0;6,0;0,0;0,0;0,7;0,0;2,7;14,8;0,0;0,0;0,0;25,5;0,0;0,0;0,0;16,1;2,0;0,0;1,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,4;0,0;0,0;4,7;10,7;0,0;0,0;0,0;1,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,4;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Booth & Zygmunt 2005;LP14;Lilypad;7,0;4,05999994277954;44,164;-111,008;0,0;0,0;0,0;0,0;2,8;0,0;0,0;4,2;0,0;0,0;17,6;0,0;0,0;1,4;7,7;0,0;0,0;0,0;12,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,3;0,0;0,0;0,0;0,0;0,0;0,0;2,1;0,0;0,0;0,0;0,0;0,0;3,5;16,2;0,0;0,0;0,0;17,6;0,0;0,0;0,0;0,0;2,8;0,0;0,0;0,0;2,1;0,0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;1,4;0,7;0,0;0,0;0,0;;;;;
Booth & Zygmunt 2005;LP7;Lilypad;7,0;4,17000007629395;44,164;-111,008;0,0;0,0;0,0;0,7;9,2;2,8;2,1;0,7;0,0;2,8;8,5;0,0;0,0;14,2;16,3;0,0;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,2;0,0;0,7;0,0;1,4;0,0;0,0;0,0;1,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,5;0,0;0,0;0,0;1,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,9;0,0;0,0;3,5;0,0;0,0;0,0;;;;;
Booth & Zygmunt 2005;ROB5;Robinson;7,0;3,97;44,167;-111,071;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,8;29,7;0,0;0,0;3,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;0,0;0,0;0,0;0,0;1,4;22,5;0,0;0,0;0,0;29,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,9;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Booth et al 2008;p19;Catfish Pocosin;7,0;3,75;34,919;-77,088;0,0;0,0;0,0;0,0;1,3;0,0;0,0;0,0;72,2;0,0;0,0;0,0;0,0;3,3;0,0;0,0;0,0;0,0;0,7;0,0;0,0;0,0;0,0;2,6;9,3;1,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,6;0,0;0,0;0,0;0,0;0,0;0,0;2,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Booth et al 2008;p22;Catfish Pocosin;7,0;4,13;34,919;-77,088;0,0;0,0;0,0;0,0;5,3;0,0;0,0;4,7;0,0;0,0;0,0;0,0;0,0;55,3;0,0;0,0;0,0;0,0;1,3;0,0;0,0;0,7;0,0;7,3;0,0;6,7;0,0;0,0;0,0;0,0;0,7;0,0;1,3;0,0;0,0;1,3;6,7;1,3;0,0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;4,0;0,0;0,0;;;;;
Markel et al. 2010;CAA9;Caswell;7,0;3,85;62,004;-150,060;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,7;0,0;0,0;0,0;0,7;0,0;0,0;0,0;76,0;0,0;0,0;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,3;2,0;2,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;
Sullivan and Booth 2011;TA49;Tannersville;7,0;4,99;41,037;-75,266;2,1;0,0;0,0;1,4;4,2;0,0;0,0;0,0;0,7;0,0;2,1;0,0;0,0;3,5;2,8;0,0;0,7;0,0;46,2;9,1;0,0;0,0;0,0;0,0;0,7;0,0;0,7;0,0;0,0;0,0;0,7;0,0;0,0;0,0;0,0;2,1;4,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,8;4,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,1;0,0;0,0;;;;;
Payne et al 2006;KC07;Kachemak;7,0;5,7;59,792;-151,169;0,0;0,0;4,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;26,0;0,0;0,0;0,7;32,2;0,0;0,0;0,0;16,4;9,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,4;1,4;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,1;0,0;0,0;0,0;;;;;
